VIX,FVmean,DTE,OTM,Return
10.290,11.149,308.494,16.094,1.007
10.290,12.021,339.588,34.615,2.162
10.290,12.742,100.562,29.957,2.748
10.290,13.105,150.449,34.615,192.857
10.290,13.437,100.562,34.615,376.071
10.290,13.806,7.580,2.000,106.489
10.290,14.236,7.580,2.000,114.906
10.290,14.577,35.558,13.082,78.113
10.290,16.949,25.544,13.082,172.895
10.290,17.548,7.580,2.900,196.844
10.290,17.957,7.580,3.823,244.448
11.870,11.149,308.494,29.957,-1.264
11.870,12.021,553.533,16.094,0.154
11.870,12.742,74.408,26.681,144.545
11.870,13.105,35.558,21.683,99.643
11.870,13.437,35.558,19.639,327.857
11.870,13.806,60.592,24.006,466.071
11.870,14.236,35.558,21.683,54.643
11.870,14.577,7.580,2.000,61.824
11.870,14.917,74.408,29.957,52.326
11.870,15.246,74.408,29.957,61.071
11.870,15.665,74.408,24.006,58.947
11.870,16.295,7.580,6.806,107.419
11.870,16.949,7.580,2.900,219.107
11.870,17.548,7.580,2.900,190.534
11.870,17.957,7.580,2.900,219.263
12.440,11.149,248.362,7.922,-1.743
12.440,12.021,35.558,21.683,12.857
12.440,12.742,45.564,29.957,60.000
12.440,13.105,60.592,26.681,263.571
12.440,13.437,35.558,19.639,245.455
12.440,13.806,100.562,34.615,12.857
12.440,14.236,35.558,9.124,22.041
12.440,14.577,35.558,24.006,54.545
12.440,14.917,35.558,24.006,54.643
12.440,15.246,25.544,10.382,94.932
12.440,15.665,7.580,2.000,99.524
12.440,16.295,7.580,2.900,127.031
12.440,16.949,7.580,2.000,69.237
12.440,17.957,7.580,3.823,235.624
12.440,18.757,7.580,6.806,1477.297
12.440,20.805,7.580,4.769,1246.494
12.870,11.149,553.533,34.615,-2.048
12.870,12.021,60.592,29.957,25.714
12.870,12.742,25.544,17.778,7.500
12.870,13.105,35.558,21.683,109.286
12.870,13.437,87.522,34.615,41.786
12.870,13.806,87.522,29.957,12.857
12.870,14.236,35.558,24.006,35.455
12.870,14.577,35.558,24.006,54.643
12.870,14.917,113.560,34.615,61.071
12.870,15.246,7.580,7.922,55.102
12.870,15.665,25.544,17.778,88.637
12.870,16.295,35.558,16.094,60.698
12.870,16.949,7.580,2.000,108.490
12.870,17.548,25.544,16.094,1423.421
12.870,17.957,45.564,16.094,943.969
12.870,19.655,7.580,9.124,1456.216
12.870,20.805,7.580,5.758,1614.578
12.870,23.167,7.580,5.758,1066.056
13.250,11.149,113.560,34.615,57.273
13.250,12.021,389.421,2.900,-1.840
13.250,12.742,553.533,2.000,-0.924
13.250,13.105,35.558,21.683,12.558
13.250,13.437,7.580,11.714,1.429
13.250,13.806,87.522,34.615,38.571
13.250,14.236,35.558,21.683,35.625
13.250,14.577,7.580,13.082,77.143
13.250,14.917,7.580,13.082,83.571
13.250,15.246,7.580,13.082,85.178
13.250,15.665,25.544,13.082,79.138
13.250,16.295,7.580,16.094,109.286
13.250,16.949,25.544,16.094,908.182
13.250,17.548,25.544,16.094,1342.895
13.250,17.957,25.544,11.714,1013.878
13.250,18.757,7.580,5.758,740.161
13.250,19.655,7.580,9.124,1417.925
13.250,20.805,7.580,9.124,1559.249
13.250,23.167,7.580,4.769,555.060
13.620,11.149,113.560,34.615,22.358
13.620,12.021,553.533,2.900,-2.039
13.620,12.742,339.588,2.000,-0.470
13.620,13.105,60.592,29.957,38.571
13.620,13.437,100.562,29.957,218.182
13.620,13.806,35.558,24.006,49.091
13.620,14.236,7.580,13.082,125.357
13.620,14.577,35.558,21.683,54.545
13.620,14.917,25.544,16.094,25.714
13.620,15.246,74.408,29.957,60.000
13.620,15.665,87.522,26.681,361.276
13.620,16.295,25.544,17.778,760.909
13.620,16.949,25.544,16.094,732.558
13.620,17.548,7.580,6.806,83.237
13.620,17.957,150.449,34.615,170.585
13.620,18.757,25.544,16.094,544.736
13.620,19.655,7.580,5.758,777.692
13.620,20.805,7.580,7.922,1484.538
13.620,23.167,7.580,9.124,458.182
13.980,11.149,248.362,2.000,-7.278
13.980,12.021,553.533,2.900,-1.774
13.980,12.742,74.408,29.957,4.737
13.980,13.105,60.592,29.957,38.571
13.980,13.437,100.562,29.957,229.091
13.980,13.806,35.558,24.006,32.727
13.980,14.236,45.564,29.957,38.571
13.980,14.577,35.558,21.683,49.091
13.980,14.917,25.544,17.778,12.857
13.980,15.246,25.544,17.778,19.286
13.980,15.665,87.522,34.615,286.071
13.980,16.295,25.544,16.094,554.651
13.980,16.949,25.544,14.530,100.909
13.980,17.548,35.558,17.778,78.158
13.980,17.957,7.580,3.823,62.847
13.980,18.757,45.564,21.683,263.571
13.980,20.805,7.580,7.922,1201.304
13.980,23.167,7.580,6.806,385.000
14.350,11.149,248.362,2.000,-7.381
14.350,12.021,553.533,13.082,-1.336
14.350,12.742,389.421,16.094,-0.577
14.350,13.105,35.558,21.683,5.625
14.350,13.437,60.592,34.615,19.285
14.350,13.806,35.558,24.006,25.714
14.350,14.236,35.558,21.683,32.727
14.350,14.577,35.558,21.683,33.158
14.350,14.917,25.544,17.778,12.857
14.350,15.246,25.544,17.778,24.375
14.350,15.665,25.544,17.778,40.263
14.350,16.295,87.522,26.681,25.946
14.350,16.949,25.544,17.778,73.928
14.350,17.548,7.580,6.806,60.102
14.350,17.957,7.580,16.094,282.857
14.350,18.757,45.564,14.530,150.723
14.350,20.805,7.580,7.922,1064.272
14.350,23.167,113.560,34.615,434.118
14.790,12.021,113.560,34.615,22.358
14.790,12.742,74.408,29.957,130.263
14.790,13.105,45.564,26.681,41.786
14.790,13.437,553.533,2.000,-3.198
14.790,13.806,60.592,34.615,61.071
14.790,14.236,7.580,11.714,26.250
14.790,14.577,25.544,17.778,14.211
14.790,14.917,389.421,14.530,-1.179
14.790,15.246,7.580,14.530,16.875
14.790,15.665,7.580,16.094,84.545
14.790,16.295,25.544,19.639,38.571
14.790,16.949,25.544,17.778,60.000
14.790,17.548,25.544,16.094,104.651
14.790,17.957,35.558,21.683,100.465
14.790,18.757,74.408,16.094,112.197
14.790,19.655,7.580,11.714,280.909
14.790,20.805,7.580,7.922,149.434
14.790,23.167,113.560,34.615,392.143
15.270,12.021,223.552,34.615,12.508
15.270,12.742,74.408,29.957,212.143
15.270,13.105,45.564,26.681,41.786
15.270,13.437,553.533,4.769,-3.881
15.270,13.806,60.592,34.615,51.429
15.270,14.236,25.544,17.778,20.930
15.270,14.577,7.580,14.530,19.286
15.270,14.917,7.580,11.714,54.375
15.270,15.246,339.588,4.769,0.020
15.270,15.665,7.580,16.094,61.579
15.270,16.295,45.564,3.823,23.537
15.270,16.949,7.580,13.082,39.767
15.270,17.548,35.558,26.681,90.000
15.270,17.957,35.558,24.006,92.727
15.270,18.757,60.592,34.615,327.273
15.270,19.655,7.580,11.714,270.000
15.270,20.805,7.580,7.922,123.411
15.270,23.167,45.564,26.681,305.357
15.740,12.021,553.533,2.000,-5.023
15.740,12.742,74.408,34.615,183.214
15.740,13.105,74.408,34.615,170.357
15.740,13.437,553.533,19.639,-4.050
15.740,13.806,25.544,16.094,8.372
15.740,14.236,25.544,17.778,16.744
15.740,14.577,7.580,11.714,52.500
15.740,14.917,7.580,11.714,50.625
15.740,15.246,74.408,34.615,12.857
15.740,15.665,74.408,34.615,43.636
15.740,16.295,25.544,19.639,21.818
15.740,16.949,7.580,13.082,82.261
15.740,17.548,45.564,34.615,57.857
15.740,17.957,60.592,34.615,831.429
15.740,18.757,7.580,17.778,32.143
15.740,19.655,7.580,3.823,254.814
15.740,20.805,7.580,5.758,269.730
15.740,23.167,87.522,34.615,298.929
16.190,12.742,113.560,34.615,200.893
16.190,13.105,87.522,34.615,52.326
16.190,13.437,553.533,5.758,-5.460
16.190,13.806,25.544,17.778,28.421
16.190,14.236,25.544,17.778,12.558
16.190,14.577,7.580,11.714,39.071
16.190,14.917,25.544,17.778,3.750
16.190,15.246,74.408,34.615,19.286
16.190,15.665,25.544,19.639,42.519
16.190,16.295,74.408,34.615,92.727
16.190,16.949,60.592,34.615,376.364
16.190,17.548,74.408,34.615,39.417
16.190,17.957,60.592,34.615,392.727
16.190,18.757,7.580,17.778,51.429
16.190,19.655,7.580,3.823,159.525
16.190,20.805,7.580,3.823,189.844
16.190,23.167,87.522,34.615,379.286
16.710,12.742,553.533,2.900,-6.690
16.710,13.105,129.562,34.615,22.703
16.710,13.437,60.592,26.681,60.248
16.710,13.806,553.533,2.900,-4.974
16.710,14.236,74.408,24.006,78.790
16.710,14.577,60.592,29.957,30.789
16.710,14.917,74.408,34.615,27.273
16.710,15.246,553.533,9.124,-3.743
16.710,15.665,7.580,16.094,17.838
16.710,16.295,25.544,16.094,135.372
16.710,16.949,100.562,34.615,27.108
16.710,17.548,35.558,26.681,43.636
16.710,17.957,35.558,24.006,60.698
16.710,18.757,45.564,29.957,43.636
16.710,19.655,25.544,21.683,64.286
16.710,20.805,7.580,5.758,331.864
16.710,23.167,113.560,34.615,414.643
17.290,13.437,60.592,26.681,44.681
17.290,13.806,74.408,24.006,57.878
17.290,14.236,74.408,24.006,65.402
17.290,14.577,74.408,29.957,-1.622
17.290,14.917,74.408,34.615,21.316
17.290,15.246,553.533,2.900,-4.554
17.290,15.665,248.362,34.615,-3.506
17.290,16.295,7.580,13.082,90.000
17.290,16.949,74.408,34.615,23.684
17.290,17.548,35.558,26.681,37.895
17.290,17.957,35.558,21.683,19.286
17.290,18.757,7.580,17.778,83.571
17.290,19.655,45.564,34.615,212.727
17.290,20.805,7.580,5.758,183.776
17.290,23.167,87.522,34.615,343.636
17.290,28.964,87.522,34.615,338.182
17.950,13.437,87.522,34.615,23.802
17.950,13.806,74.408,24.006,41.582
17.950,14.236,74.408,24.006,70.063
17.950,14.577,553.533,4.769,-4.041
17.950,14.917,308.494,3.823,-5.559
17.950,15.246,553.533,4.769,-5.294
17.950,15.665,553.533,4.769,-4.265
17.950,16.295,74.408,34.615,79.091
17.950,16.949,45.564,34.615,12.857
17.950,17.548,35.558,26.681,32.727
17.950,17.957,7.580,13.082,8.372
17.950,18.757,45.564,34.615,25.714
17.950,19.655,45.564,34.615,212.727
17.950,20.805,7.580,2.900,149.178
17.950,23.167,87.522,34.615,327.857
17.950,28.964,87.522,34.615,334.286
18.710,13.437,60.592,26.681,50.718
18.710,13.806,60.592,26.681,60.361
18.710,14.236,553.533,2.900,-6.195
18.710,14.577,100.562,29.957,46.919
18.710,14.917,308.494,17.778,-7.880
18.710,15.246,553.533,3.823,-5.334
18.710,15.665,45.564,29.957,6.207
18.710,16.295,74.408,34.615,48.214
18.710,16.949,45.564,34.615,6.429
18.710,17.548,35.558,26.681,35.526
18.710,17.957,389.421,3.823,-2.028
18.710,18.757,45.564,34.615,111.429
18.710,19.655,45.564,29.957,32.143
18.710,20.805,45.564,34.615,245.455
18.710,23.167,7.580,21.683,1080.000
18.710,28.964,87.522,34.615,340.714
19.760,13.806,553.533,2.000,-6.097
19.760,14.236,553.533,2.000,-6.945
19.760,14.577,553.533,10.382,-5.818
19.760,14.917,553.533,3.823,-6.094
19.760,15.246,553.533,3.823,-5.981
19.760,15.665,553.533,3.823,-5.732
19.760,16.295,74.408,34.615,68.182
19.760,16.949,74.408,34.615,68.684
19.760,17.548,553.533,17.778,-0.256
19.760,17.957,553.533,17.778,-3.812
19.760,18.757,25.544,24.006,112.500
19.760,19.655,100.562,34.615,8.077
19.760,20.805,7.580,24.006,128.571
19.760,23.167,7.580,24.006,111.429
19.760,28.964,87.522,34.615,192.558
21.290,14.236,553.533,10.382,-6.493
21.290,14.577,553.533,10.382,-6.996
21.290,15.246,553.533,2.000,-8.687
21.290,15.665,553.533,34.615,-4.158
21.290,16.295,553.533,34.615,-3.822
21.290,16.949,74.408,34.615,64.786
21.290,17.548,74.408,2.000,-0.832
21.290,17.957,553.533,2.900,-3.972
21.290,18.757,25.544,21.683,190.141
21.290,19.655,553.533,7.922,-1.821
21.290,20.805,35.558,34.615,32.143
21.290,23.167,7.580,21.683,488.571
21.290,28.964,7.580,17.778,568.929
23.270,16.295,553.533,34.615,-5.929
23.270,16.949,553.533,34.615,-6.281
23.270,17.548,553.533,2.000,-7.162
23.270,17.957,389.421,11.714,-6.378
23.270,18.757,553.533,11.714,-1.035
23.270,19.655,553.533,11.714,-3.580
23.270,20.805,35.558,34.615,26.493
23.270,23.167,7.580,21.683,25.714
23.270,28.964,174.358,34.615,133.067
28.810,18.757,553.533,2.000,-10.412
28.810,19.655,553.533,4.769,-8.083
28.810,20.805,553.533,4.769,-8.379
28.810,23.167,553.533,4.769,1.188
28.810,28.964,174.358,19.639,8.906